"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 23","38.69","38.95","39.05","38.67","43.82M","-1.55%"
"2023- 05- 22","39.30","39.26","39.47","39.26","30.25M","0.82%"
"2023- 05- 19","38.98","39.05","39.09","38.90","26.85M","0.08%"
"2023- 05- 18","38.95","39.01","39.03","38.78","30.38M","-0.54%"
"2023- 05- 17","39.16","38.98","39.21","38.90","24.08M","0.46%"
"2023- 05- 16","38.98","38.99","39.15","38.96","23.87M","-0.71%"
"2023- 05- 15","39.26","38.96","39.31","38.84","28.54M","1.84%"
"2023- 05- 12","38.55","38.74","38.75","38.47","32.79M","-1.18%"
"2023- 05- 11","39.01","38.81","39.02","38.70","33.60M","-0.36%"
"2023- 05- 10","39.15","39.13","39.26","38.94","22.39M","-0.05%"
"2023- 05- 09","39.17","39.01","39.20","38.97","17.20M","-0.61%"
"2023- 05- 08","39.41","39.53","39.55","39.33","19.72M","0.05%"
"2023- 05- 05","39.39","39.05","39.42","38.99","18.25M","1.34%"
"2023- 05- 04","38.87","38.88","39.00","38.78","29.41M","0.80%"
"2023- 05- 03","38.56","38.66","38.82","38.53","18.67M","-0.16%"
"2023- 05- 02","38.62","38.85","38.85","38.48","24.04M","-0.97%"
"2023- 05- 01","39.00","38.97","39.26","38.95","16.79M","-0.33%"
"2023- 04- 28","39.13","38.94","39.16","38.92","22.48M","0.51%"
"2023- 04- 27","38.93","38.63","38.98","38.59","22.27M","1.35%"
"2023- 04- 26","38.41","38.66","38.69","38.38","40.51M","0.58%"
"2023- 04- 25","38.19","38.40","38.43","38.13","30.91M","-1.88%"
"2023- 04- 24","38.92","38.92","38.98","38.79","19.95M","-0.23%"